R, G, B
21,21,21
21,21,21
20,21,21
21,21,21
20,21,21
20,21,21
17,21,21
18,21,21
16,21,21
14,21,21
12,21,21
13,21,21
12,21,21
12,21,21
13,21,21
11,21,21
12,21,21
12,21,21
13,21,21
12,21,21
12,21,21
13,21,21
12,21,21
13,21,21
12,21,21
13,21,21
12,21,21
12,21,21
12,21,21
13,21,21
13,21,21
12,21,21
13,21,21
12,21,21
12,21,21
13,21,21
13,21,21
12,21,21
13,21,21
14,21,21
12,21,21
12,21,21
12,21,21
13,21,21
13,21,21
12,21,21
12,21,21
13,21,21
12,21,21
12,21,21
12,21,21
12,21,21
13,21,21
13,21,21
13,21,21
12,21,21
12,21,21
12,21,21
12,21,21
13,21,21
12,21,21
13,21,21
12,21,21
13,21,21
14,21,21
11,21,21
12,21,21
11,21,21
12,21,21
13,21,21
13,21,21
12,21,21
13,21,21
12,21,21
13,21,21
12,21,21
14,21,21
12,21,21
13,21,21
13,21,21
13,21,21
12,21,21
12,21,21
13,21,21
14,21,21
12,21,21
13,21,21
13,21,21
12,21,21
13,21,21
12,21,21
13,21,21
12,21,21
14,21,21
14,21,21
15,21,21
12,21,21
12,21,21
13,21,21
11,21,21
12,21,21
13,21,21
12,21,21
14,21,21
13,21,21
13,21,21
13,21,21
11,21,21
12,21,21
12,21,21
13,21,21
12,21,21
13,21,21
14,21,21
12,21,21
13,21,21
13,21,21
13,21,21
14,21,21
14,21,21
12,21,21
13,21,21
12,21,21
12,21,21
13,21,21
13,21,21
12,21,21
12,21,21
12,21,21
13,21,21
13,21,21
12,21,21
13,21,21
15,21,21
14,21,21
14,21,21
14,21,21
14,21,21
15,21,21
14,21,21
14,21,21
12,21,21
15,21,21
14,21,21
14,21,21
13,21,21
14,21,21
14,21,21
15,21,21
15,21,21
14,21,21
14,21,21
14,21,21
14,21,21
13,21,21
13,21,21
13,21,21
13,21,21
13,21,21
13,21,21
14,21,21
14,21,21
13,21,21
14,21,21
14,21,21
13,21,21
13,21,21
13,21,21
14,21,21
14,21,21
13,21,21
15,21,21
13,21,21
13,21,21
14,21,21
14,21,21
14,21,21
14,21,21
13,21,21
13,21,21
14,21,21
14,21,21
13,21,21
14,21,21
14,21,21
15,21,21
15,21,21
14,21,21
15,21,21
14,21,21
15,21,21
15,21,21
15,21,21
14,21,21
